Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,BsmtFinType1_Unf,HasWoodDeck,HasOpenPorch,HasEnclosedPorch,Has3SsnPorch,HasScreenPorch,YearsSinceRemodel,Total_Home_Quality,TotalSF,YrBltAndRemod,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,LotFrontage_log,LotArea_log,MasVnrArea_log,BsmtFinSF1_log,BsmtFinSF2_log,BsmtUnfSF_log,TotalBsmtSF_log,1stFlrSF_log,2ndFlrSF_log,LowQualFinSF_log,GrLivArea_log,BsmtFullBath_log,BsmtHalfBath_log,FullBath_log,HalfBath_log,BedroomAbvGr_log,KitchenAbvGr_log,TotRmsAbvGrd_log,Fireplaces_log,GarageCars_log,GarageArea_log,WoodDeckSF_log,OpenPorchSF_log,EnclosedPorch_log,3SsnPorch_log,ScreenPorch_log,PoolArea_log,MiscVal_log,YearRemodAdd_log,TotalSF_log,YearRemodAdd_sq,LotFrontage_log_sq,TotalBsmtSF_log_sq,1stFlrSF_log_sq,2ndFlrSF_log_sq,GrLivArea_log_sq,GarageCars_log_sq,GarageArea_log_sq,MSSubClass_120,MSSubClass_150,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Alley_Grvl,Alley_None,Alley_Pave,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Ex,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_None,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_None,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtExposure_None,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_None,BsmtFinType1_Rec,BsmtFinType2_ALQ,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_None,BsmtFinType2_Rec,BsmtFinType2_Unf,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HeatingQC_Ex,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_N,CentralAir_Y,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_None,FireplaceQu_Po,FireplaceQu_TA,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,GarageFinish_Fin,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf,GarageQual_Ex,GarageQual_Fa,GarageQual_Gd,GarageQual_None,GarageQual_Po,GarageQual_TA,GarageCond_Ex,GarageCond_Fa,GarageCond_Gd,GarageCond_None,GarageCond_Po,GarageCond_TA,PavedDrive_N,PavedDrive_P,PavedDrive_Y,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_None,MiscFeature_Gar2,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MoSold_1,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,Saleprice
1,18.1445728,13.83305409,7,3.991516945,2003,2003,19.43317457,144.1178624,0,29.99105545,422.4885101,5.939033508,1025.651979,0,8.353542942,0.993439754,0,2,1.068836597,3,0.750956843,2.261967859,0,2003,2,548,0,12.08030877,0,0,0,0,0,0,1,0,1,1,1,5,10.99151694,1454.079522,4006,1175.708875,3.527858052,12.08030877,0,1,1,1,0,2.952541476,2.697532018,3.017649065,4.977615164,0.009950331,3.434021251,6.048549996,1.938602586,6.934068021,0.009950331,2.236823738,0.69486558,0.009950331,1.101940079,0.731808409,1.388791241,0.565857322,1.185391596,0.009950331,1.101940079,6.308116656,0.009950331,2.571872168,0.009950331,0.009950331,0.009950331,0.009950331,0.009950331,7.602905452,7.282822705,4012009,8.717501166,36.58495706,3.758179988,48.08129932,5.003380436,1.214271937,39.79233575,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,208501
2,20.6736252,14.11791763,6,6.0000331,1976,1976,54.59815003,181.719186,0,44.13541522,593.8881792,6.234990039,665.141633,0,7.974693162,0,0.710895378,2,0,3,0.750956843,1.996577194,0.903334074,1976,2,460,56.18422271,0,0,0,0,0,0,0,0,1,1,1,1,31,12.0000331,600.1231692,3952,187.954176,2.355447689,56.18422271,0,1,1,1,1,3.076557377,2.716541886,4.018329774,5.208005199,0.009950331,3.809888729,6.388390263,1.980310201,6.501517322,0.009950331,2.19552237,0.009950331,0.542844724,1.101940079,0.009950331,1.388791241,0.565857322,1.100802287,0.648847309,1.101940079,6.133419735,4.046452892,0.009950331,0.009950331,0.009950331,0.009950331,0.009950331,0.009950331,7.589340881,6.398816489,3904576,9.465205292,40.81153016,3.921628492,42.26972749,4.820318475,1.214271937,37.61883764,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,181501
3,18.66804657,14.47651228,7,3.991516945,2001,2002,17.76884001,110.4410334,0,56.89653556,450.0797164,5.994335649,1040.52106,0,8.408063625,0.993439754,0,2,1.068836597,3,0.750956843,1.996577194,0.903334074,2001,2,608,0,9.901080643,0,0,0,0,0,0,1,0,1,1,1,6,10.99151694,1496.595112,4003,1156.956429,3.527858052,9.901080643,0,1,1,1,1,2.979503627,2.739969469,2.932730704,4.713585332,0.009950331,4.058830255,6.111666248,1.946529336,6.948447082,0.009950331,2.242629508,0.69486558,0.009950331,1.101940079,0.731808409,1.388791241,0.565857322,1.100802287,0.648847309,1.101940079,6.411834688,0.009950331,2.389778846,0.009950331,0.009950331,0.009950331,0.009950331,0.009950331,7.602406328,7.311622519,4008004,8.877441864,37.35246432,3.788976455,48.28091685,5.029387108,1.214271937,41.11162407,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,223501
4,17.24965067,14.10619637,7,3.991516945,1915,1970,54.59815003,61.79531473,0,64.80885767,378.8545679,6.027703763,904.4774217,0,8.358661771,0.993439754,0,1,0,3,0.750956843,2.137369267,0.903334074,1998,3,642,0,8.966115421,16.02071132,0,0,0,0,0,1,0,0,1,1,36,10.99151694,1289.359693,3885,972.3004402,1.993439754,24.98682674,0,1,1,1,1,2.904693744,2.715766776,4.018329774,4.140039699,0.009950331,4.186906388,5.939814789,1.951281947,6.808473386,0.009950331,2.237370265,0.69486558,0.009950331,0.698134722,0.009950331,1.388791241,0.565857322,1.14656695,0.648847309,1.388791241,6.466160276,0.009950331,2.300193778,2.835018262,0.009950331,0.009950331,0.009950331,0.009950331,7.586301381,7.16268404,3880900,8.437245748,35.28139973,3.807501237,46.35530985,5.005825705,1.928741112,41.81122872,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,140001
5,21.3142826,15.02200796,8,3.991516945,2000,2000,25.40416393,136.6246011,0,61.16637936,545.3099273,6.161221034,1273.024863,0,8.669320774,0.993439754,0,2,1.068836597,4,0.750956843,2.373752708,0.903334074,2000,3,836,42.24570157,14.27156828,0,0,0,0,0,0,0,0,1,1,1,8,11.99151694,1824.496011,4000,1415.810685,3.527858052,56.51726984,0,1,1,1,1,3.105674992,2.774587222,3.273900379,4.924602355,0.009950331,4.129975175,6.303204752,1.970075938,7.1499442,0.009950331,2.269991731,0.69486558,0.009950331,1.101940079,0.731808409,1.611435915,0.565857322,1.218985362,0.648847309,1.388791241,6.729836018,3.767129053,2.726647414,0.009950331,0.009950331,0.009950331,0.009950331,0.009950331,7.601407332,7.509612494,4000000,9.645217156,39.73039014,3.8811992,51.12170207,5.152862458,1.928741112,45.29069283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,250001
6,21.47248045,14.99825681,5,3.991516945,1993,1995,54.59815003,147.8764833,0,17.71803772,396.3889773,5.883143506,671.0296904,0,8.069453523,0.993439754,0,1,1.068836597,1,0.750956843,1.834658507,0,1993,2,480,14.91219939,8.235429782,0,7.114653253,0,0,6.937473546,0,0,0,1,0,1,14,8.991516945,1073.301811,3988,824.7893172,2.527858052,30.26228242,0,1,1,1,0,3.112736359,2.77310464,4.018329774,5.003184159,0.009950331,2.930021745,5.984940757,1.930527223,6.510317402,0.009950331,2.206014006,0.69486558,0.009950331,0.698134722,0.731808409,0.698134722,0.565857322,1.045443028,0.009950331,1.101940079,6.17588806,2.767714323,2.224129352,0.009950331,2.094903051,0.009950331,0.009950331,2.072854085,7.598905467,6.97943556,3980025,9.689127642,35.81951586,3.726935358,42.38423267,4.866497795,1.214271937,38.14159333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,143001
7,19.85405024,14.22858897,8,3.991516945,2004,2005,18.96228371,230.7557211,0,47.14731214,765.6413491,6.456544487,665.141633,0,8.341766093,0.993439754,0,2,0,3,0.750956843,2.137369267,0.903334074,2004,2,636,50.79469559,11.65581872,0,0,0,0,0,0,0,0,1,1,1,2,11.99151694,772.0978936,4009,237.2122656,2.993439754,62.45051431,0,1,1,1,1,3.038027594,2.723830959,2.994345498,5.445727039,0.009950331,3.874472988,6.642032134,2.010432307,6.501517322,0.009950331,2.235565212,0.69486558,0.009950331,1.101940079,0.009950331,1.388791241,0.565857322,1.14656695,0.648847309,1.101940079,6.456785354,3.947480794,2.538906926,0.009950331,0.009950331,0.009950331,0.009950331,0.009950331,7.603902954,6.650418617,4020025,9.229611661,44.11659086,4.04183806,42.26972749,4.997751819,1.214271937,41.69007711,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,307001
8,20.6736252,14.2943443,7,4.679500696,1973,1973,21.35533026,165.7057713,4.749196087,37.42280442,529.4025788,6.135566752,1185.824256,0,8.605751399,0.993439754,0,2,1.068836597,3,0.750956843,2.137369267,1.688254474,1973,2,484,48.17486114,22.32953726,14.95821844,0,0,0,6.167518114,0,0,0,0,1,1,36,11.6795007,1721.362401,3946,1362.41479,3.527858052,85.46261683,0,1,1,1,1,3.076557377,2.72813673,3.107512003,5.116290394,1.750797897,3.648911377,6.273655154,1.96649213,7.079044752,0.009950331,2.263402525,0.69486558,0.009950331,1.101940079,0.731808409,1.388791241,0.565857322,1.14656695,0.992605073,1.101940079,6.184169509,3.895585876,3.150148801,2.770600399,0.009950331,0.009950331,0.009950331,1.970953657,7.587822286,7.451457923,3892729,9.465205292,39.35874899,3.867091296,50.1128746,5.122990988,1.214271937,38.24395252,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,200001
9,15.55809063,13.1269881,7,3.991516945,1931,1950,54.59815003,665.141633,0,90.70348896,463.7853951,6.074709214,899.5416728,0,8.399606354,0,0,2,0,2,1.248543266,2.261967859,1.688254474,1931,2,468,25.69355186,0,14.34707579,0,0,0,0,1,0,1,0,1,1,58,10.99151694,1369.401777,3881,905.6163821,2,40.04062765,0,1,1,1,1,2.807478594,2.648794632,4.018329774,6.501517322,0.009950331,4.518669467,6.141597298,1.95793883,6.803007545,0.009950331,2.24173112,0.009950331,0.009950331,1.101940079,0.009950331,1.101940079,0.814720033,1.185391596,0.992605073,1.101940079,6.15062409,3.284796585,0.009950331,2.731576331,0.009950331,0.009950331,0.009950331,0.009950331,7.576102466,7.222866541,3802500,7.881936057,37.71921737,3.833524461,46.28091166,5.025358415,1.214271937,37.8301767,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,129901
10,15.36289995,13.54613543,5,4.679500696,1939,1950,54.59815003,164.6066442,0,28.75416919,480.4124376,6.114659152,665.141633,0,7.778428682,0.993439754,0,1,0,2,1.248543266,1.834658507,1.688254474,1939,1,205,0,2.36707744,0,0,0,0,0,0,1,0,1,1,1,58,9.679500696,486.5270968,3889,170.7213033,1.993439754,2.36707744,0,1,1,1,1,2.795627526,2.678012584,4.018329774,5.109675745,0.009950331,3.393305294,6.176745133,1.963561887,6.501517322,0.009950331,2.173435934,0.69486558,0.009950331,0.698134722,0.009950331,1.101940079,0.814720033,1.045443028,0.992605073,0.698134722,5.327924711,0.009950331,1.217010673,0.009950331,0.009950331,0.009950331,0.009950331,0.009950331,7.576102466,6.189366383,3802500,7.815533263,38.15218044,3.855575283,42.26972749,4.723823758,0.48739209,28.38678173,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,118001
